Plugin,Menu,Section,Type,English,Japanese
"Pawprint","","","","为自身附加“重生”状态
重生效果：陷入无法战斗状态时有95%的几率自动复活
持续时间：永久","自身に「転生」ステータスを付与する
復活効果：戦闘不能時に95％の確率で自動復活する。
期間: 永遠に"
"Pawprint","","","","为自身附加“钢刺”状态
钢刺效果：所有攻击均附带物理属性
该效果也会附加到魔兽身上
持续时间：180秒
该道具仅可在战斗地图中使用","自身に「鋼の棘」状態を付与する
鋼の棘効果：全ての攻撃に物理属性が付与される
この効果はWarcraftにも追加されます
持続時間: 180秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为自身附加“铸魔”状态
铸魔效果：所有攻击均附带魔法属性
该效果也会附加到魔兽身上
持续时间：180秒
该道具仅可在战斗地图中使用","自身に「鍛造魔」ステータスを付与
魔法の詠唱効果: すべての攻撃に魔法の属性が付与されます。
この効果はWarcraftにも追加されます
持続時間: 180秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","为达成个数目标预留道具（背包≤目标时不用药）","目標数を達成するために小道具を予約します（バックパックが目標数以下の場合は薬は使用されません）"
"Pawprint","","","","仅寻找选中","選択したものだけを検索"
"Pawprint","","","","以太爆发威力+10%
特殊效果：暴击时为自身附加1档“造成物理伤害提高”状态
造成物理伤害提高效果：发动物理攻击造成的伤害提高10%
持续时间：30秒
最大档数：5档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","エーテルバースト威力+10%
特殊効果：クリティカル発生時、自身に「物理与ダメージ増加」状態を1段階追加する。
物理ダメージ増加効果：物理攻撃によるダメージを10％増加
持続時間: 30秒
最大ギア数: 5 ギア
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","以太爆发威力+10%
特殊效果：暴击时为自身附加1档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
持续时间：120秒
最大档数：5档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","エーテルバースト威力+10%
特殊効果：クリティカル時、自身に「回避」状態を1段階追加
回避効果：特定の攻撃を除く全ての物理攻撃を無効化する。無効化すると回避力が1レベル消費されます。
持続時間: 120秒
最大ギア数: 5 ギア
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","以太爆发威力+10%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
适于以下魔兽食用：
百兽纲 百虫纲 草木纲 水栖纲 甲鳞纲 死尸纲","エーテルバースト威力+10%
特殊効果：ウォークラフトがコンバットスキルを発動してビーストハート連携スキルを発動すると、30％の確率で消費したスキルの一部を回復する。
以下のモンスターに適しています。
クラス百科事典 クラス クラス百科事典 クラス クラス草本科 クラス クラス水生生物 クラス クラス爪真菌症 クラス クラス壊虫症"
"Pawprint","","","","以太爆发威力+25%
特殊效果：魔兽发动战技触发兽心协作技时，有35%的几率恢复一部分消耗的技力
适于以下魔兽食用：
有翼纲","エーテルバースト威力+25%
特殊効果：ウォークラフトがコンバットスキルを発動してビーストハート連携スキルを発動すると、35％の確率で消費したスキルの一部を回復する。
以下のモンスターに適しています。
翼のあるクラス"
"Pawprint","","","","以太爆发威力+35%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","エーテルバースト威力+35%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","以自身或魔兽为目标，以噩梦为代价，附加“魔力药”状态
魔力药效果：令目标造成的魔法伤害提高50%
噩梦持续时间：30秒
魔力药持续时间：30秒
该道具仅可在战斗地图中使用","悪夢を犠牲にして自分自身またはモンスターをターゲットにし、「魔法のポーション」ステータスを追加します
魔法のポーション効果：対象に与える魔法ダメージが50％増加します。
悪夢の持続時間: 30秒
魔法のポーション持続時間: 30秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，以失明为代价，附加“敏捷药”状态
敏捷药效果：令目标的回避率提高25%
失明持续时间：30秒
敏捷药持续时间：60秒
该道具仅可在战斗地图中使用","失明を代償に自身またはモンスターを対象とし、「敏捷の薬」ステータスを追加する
敏捷ポーションの効果：対象の回避率25%アップ
失明時間: 30秒
敏捷性ポーションの持続時間: 60 秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，以猛毒为代价，附加“耐力药”状态，恢复10%的体力
耐力药效果：令最大体力提高30%
猛毒持续时间：180秒
耐力药持续时间：永久，完成1次战斗后效果消失
该道具仅可在战斗地图中使用","自身またはモンスターを対象に、強力な毒を代償に「耐久薬」状態を付与し、体力を10％回復する。
エンデュランスポーション効果：最大体力30%増加
毒の持続時間: 180秒
エンデュランスポーションの持続時間：永続、1回の戦闘が完了すると効果は消える
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，以眩晕为代价，附加“刚力药”状态
刚力药效果：令目标造成的物理伤害提高45%
眩晕持续时间：15秒
刚力药持续时间：30秒
该道具仅可在战斗地图中使用","めまいを犠牲にして自分自身またはモンスターをターゲットにし、「強さのポーション」ステータスを追加します
強化ポーションの効果：対象に与える物理ダメージを45%増加させる
気絶持続時間: 15秒
強化ポーションの持続時間: 30 秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，以石化为代价，附加“特攻药”状态
特攻药效果：令目标的暴击发动率提高50%
石化持续时间：15秒
特攻药持续时间：30秒
追加效果：持有“银框眼镜”时，持续时间将变为60秒
该道具仅可在战斗地图中使用","石化と引き換えに自身またはモンスターを対象に「特攻薬」状態を付与
特殊攻撃ポーションの効果：対象のクリティカル率を50％増加させる
石化持続時間：15秒
特殊攻撃ポーション持続時間：30秒
追加効果：「銀縁メガネ」を持っている時、持続時間が60秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，增加100点技力
追加效果：持有“高昂戒指”时，技力增加量将变为250点
该道具仅可在战斗地图中使用","自分またはモンスターを対象にスキルを100ポイントアップ
追加効果：「ハイリング」保持時、スキル上昇量が250ポイントになる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，将中毒耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分またはモンスターを対象とし、毒耐性を100%増加させる
持続時間: 180秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，将失明耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分またはモンスターをターゲットにすると、失明耐性が 100% 増加します
持続時間: 180秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，将睡眠耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分またはモンスターを対象に睡眠耐性を100%増加
持続時間: 180秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，将石化耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分またはモンスターを対象に石化耐性を100%増加
持続時間: 180秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，将麻痹耐性提高100%
持续时间：180秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分またはモンスターを対象に麻痺耐性を100%アップ
持続時間: 180秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，恢复10%的体力","自分またはモンスターを対象に自分の体力を10％回復する。"
"Pawprint","","","","以自身或魔兽为目标，恢复23%的体力","自分またはモンスターを対象に自身の体力を23%回復。"
"Pawprint","","","","以自身或魔兽为目标，恢复36%的体力","自分またはモンスターを対象に自身の体力を36%回復する。"
"Pawprint","","","","以自身或魔兽为目标，恢复50%的体力","自分またはモンスターを対象に自分の体力を50％回復する。"
"Pawprint","","","","以自身或魔兽为目标，解除除特定攻击之外其他所有中毒状态
治愈成功后，恢复目标最大体力的25%
该道具仅可在战斗地图中使用","自分自身またはモンスターをターゲットにし、特定の攻撃を除くすべての中毒状態を解除します。
治癒に成功すると、対象の最大体力の25%が回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，解除除特定攻击之外其他所有失明状态
治愈成功后，恢复目标最大体力的25%
该道具仅可在战斗地图中使用","自分自身またはモンスターをターゲットにし、特定の攻撃を除くすべての失明状態を解除します。
治癒に成功すると、対象の最大体力の25%が回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加5档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
持续时间：120秒
追加效果：“盗贼的药”状态中时，再附加3档闪躲
该道具仅可在战斗地图中使用","自分自身またはモンスターをターゲットにし、5段階の「回避」ステータスを追加します。
回避効果：特定の攻撃を除く全ての物理攻撃を無効化する。無効化すると回避力が1レベル消費されます。
持続時間: 120秒
追加効果：『盗賊の薬』状態の時、回避がさらに3段階追加される。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“刚力药”状态
刚力药效果：令目标造成的物理伤害提高30%
持续时间：15秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象にし、「強化ポーション」ステータスを追加します
強化ポーションの効果：対象に与える物理ダメージを30％増加させる
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“反射”状态
反射效果：反射除特定攻击之外的所有魔法攻击
持续时间：30秒
追加效果：持有“魔咒帽子”时，持续时间将变为60秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「反射」状態を付与
反射効果：特定の攻撃を除く全ての魔法攻撃を反射する
持続時間: 30秒
追加効果：「魔法の帽子」をかざすと持続時間が60秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“吸血攻击”状态
吸血攻击效果：恢复造成伤害10%的体力
持续时间：60秒
追加效果：持有“恶魔铠甲”时，持续时间将变为90秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「吸血攻撃」状態を付与
吸血攻撃効果：与えたダメージの体力の10％を回復
持続時間: 60秒
追加効果：「デビルアーマー」保持時、持続時間が90秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“敏捷药”状态
敏捷药效果：令目标的回避率提高25%
持续时间：30秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「すばやさの薬」状態を付与
敏捷ポーションの効果：対象の回避率25%アップ
持続時間: 30秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“特攻药”状态
特攻药效果：令目标的暴击发动率提高30%
持续时间：30秒
追加效果：持有“银框眼镜”时，持续时间将变为60秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「特攻薬」状態を付与
特殊攻撃ポーションの効果：対象のクリティカル率を30％増加させる
持続時間: 30秒
追加効果：「銀縁メガネ」を持っている時、持続時間が60秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“硬肤药”状态
硬肤药效果：所受伤害减轻20%
持续时间：60秒
追加效果：持有“寒冰盾”时，持续时间将变为90秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「ハードスキンポーション」状態を追加
ハードスキンポーションの効果：受けるダメージ20％軽減
持続時間: 60秒
追加効果：「アイスシールド」保持時、持続時間が90秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“缩时药”状态
缩时药效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短15%
持续时间：60秒
追加效果：持有“盗贼手套”时，持续时间将变为90秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「時間短縮ポーション」ステータスを追加
時間短縮ポーションの効果：自動攻撃間隔、戦闘スキル、魔法の詠唱・再詠唱時間が15%短縮される
持続時間: 60秒
追加効果：「盗賊の手袋」を持っている時、持続時間が90秒になる。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“耐力药”状态，恢复10%的体力
耐力药效果：令最大体力提高20%
持续时间：永久，完成1次战斗后效果消失
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「耐久薬」状態を付与し、体力を10％回復。
エンデュランスポーション効果：最大体力20％増加
持続時間：永続、1戦闘終了で効果は消滅
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以自身或魔兽为目标，附加“魔力药”状态
魔力药效果：令目标造成的魔法伤害提高30%
持续时间：15秒
该道具仅可在战斗地图中使用","自分またはモンスターを対象に「魔法のポーション」状態を追加
魔法のポーション効果：対象に与える魔法ダメージが30％増加します。
持続時間: 15秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","以魔兽为目标，解除除特定攻击之外其他所有石化状态
治愈成功后，恢复目标最大体力的50%，同时附加“石肤”状态
石肤效果：抵消相当于最大体力50%的伤害量
石肤持续时间：60秒
该道具仅可在战斗地图中使用","モンスターをターゲットにし、特定の攻撃を除くすべての石化状態を解除します。
治癒成功後、対象の体力が最大値の50％回復し、「ストーンスキン」状態が追加される。
ストーンスキン効果：最大体力の50%相当のダメージを相殺
ストーンスキン持続時間: 60秒
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","优先级","優先度"
"Pawprint","","","","优先飞行","優先便"
"Pawprint","","","","位于副本内","コピー内で"
"Pawprint","","","","位置",""
"Pawprint","","","","低段第一盘","ローセクションの最初のセット"
"Pawprint","","","","低段第三盘","第3セットロー"
"Pawprint","","","","低段第二盘","ローセカンドセット"
"Pawprint","","","","低纯度兽核晶 0 · 高纯度兽核晶 0","低純度獣核結晶0・高純度獣核結晶0"
"Pawprint","","","","使用星体风暴，对目标及其周围18米以内的敌人造成火属性魔法伤害　威力：3000
追加效果：增加自身技力
技力增加量：每命中1名敌人增加50点
追加效果：令目标的火属性耐性降低20%
持续时间：60秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","アストラルストームを使用して、ターゲットとその周囲18メートル以内の敵に火魔法ダメージを与えます。パワー: 3000
追加効果：自身のスキルアップ
スキル増加：敵に攻撃を当てるごとに50ポイント
追加効果：対象の火耐性を20％ダウン
持続時間: 60秒
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","使用食物","食べ物を使う"
"Pawprint","","","","停止",""
"Pawprint","","","","停止##arena",""
"Pawprint","","","","停止并保存斗兽记录","戦闘記録を停止して保存する"
"Pawprint","","","","入场编组","入学グループ"
"Pawprint","","","","入场编组 0/10","入学グループ 0/10"
"Pawprint","","","","入场编组 0/15","入学グループ 0/15"
"Pawprint","","","","入场顺序／补位顺序","エントリー注文/約定注文"
"Pawprint","","","","全局：累计 0 局 · 失败 0 局 · 最高 0 分","全体: 蓄積ラウンド数 0、失敗ラウンド数 0、最大 0 ポイント"
"Pawprint","","","","全程限制","旅行期間中は制限されます"
"Pawprint","","","","全部",""
"Pawprint","","","","全部启用","すべて有効にする"
"Pawprint","","","","全部禁用","すべて無効にする"
"Pawprint","","","","其他设置","その他の設定"
"Pawprint","","","","内置简单战斗","内蔵の簡単な戦闘"
"Pawprint","","","","减速+200%
造成物理伤害+50%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","減速+200%
物理ダメージ+50%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","减速+200%
造成魔法伤害+50%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","減速+200%
与える魔法ダメージ+50%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","凛冽洞天披雪大冰壁","冷たい洞窟の空は雪で覆われ、氷の壁は巨大です"
"Pawprint","","","","出售测试","販売用のテスト"
"Pawprint","","","","初始伙伴","最初のパートナー"
"Pawprint","","","","初始伙伴（图片备注，待图鉴确认）","初期パートナー（絵メモ、図鑑にて確認）"
"Pawprint","","","","删除预设","プリセットの削除"
"Pawprint","","","","刷新图鉴","リフレッシュ図鑑"
"Pawprint","","","","副本捕获（AutoDuty）","コピー キャプチャ (AutoDuty)"
"Pawprint","","","","加载时打开窗口","ロード中にウィンドウを開く"
"Pawprint","","","","加速+1%
特殊效果：寻宝时可以选择2个道具","スピードアップ +1%
特殊効果：宝探し時に小道具を2つ選択可能"
"Pawprint","","","","加速+15%
造成伤害+30%
特殊效果：每隔一段时间受到伤害
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲","スピードアップ +15%
与ダメージ+30%
特殊効果：時々ダメージを受ける
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫綱クラス、アクアティカクラス、爪真菌症クラス"
"Pawprint","","","","加速+15%
造成伤害+5%
最大体力+35%
特殊效果：将此食料喂给魔兽后，可以恢复20%的体力
适于以下魔兽食用：
草木纲","スピードアップ +15%
与ダメージ+5%
最大体力+35%
特殊効果：この餌をモンスターに与えると体力を20％回復する。
以下のモンスターに適しています。
ハーブ科"
"Pawprint","","","","加速+2%
造成物理伤害+3%","スピードアップ +2%
物理ダメージ+3%"
"Pawprint","","","","加速+20%
特殊效果：魔兽发动战技触发兽心协作技时，为自身附加1档“激昂”状态
激昂效果：造成伤害+15%、受到伤害-8%
激昂持续时间：60秒
最大档数：4档
适于以下魔兽食用：
咒具纲","スピードアップ +20%
特殊効果：ウォークラフトが戦闘スキルを発動してビーストハート連携スキルを発動すると、自身に「興奮」状態を付与する。
エキサイティング効果：与ダメージ+15%、被ダメージ-8%
情熱の持続時間: 60秒
最大ギア数: 4 ギア
以下のモンスターに適しています。
マントラの概要"
"Pawprint","","","","加速+5%
以太爆发威力+25%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲","スピードアップ +5%
エーテルバースト威力+25%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫綱クラス、アクアティカクラス、爪真菌症クラス"
"Pawprint","","","","加速+5%
暴击发动率+5%","スピードアップ +5%
クリティカル率+5%"
"Pawprint","","","","加速+5%
最大体力+50%
特殊效果：将此食料喂给魔兽后，可以恢复26%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲","スピードアップ +5%
最大体力+50%
特殊効果：この餌をモンスターに与えると体力が26％回復する
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫綱クラス、アクアティカクラス、爪真菌症クラス"
"Pawprint","","","","加速+5%
造成物理伤害+25%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 水栖纲 甲鳞纲","スピードアップ +5%
物理ダメージ+25%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫綱クラス、アクアティカクラス、爪真菌症クラス"
"Pawprint","","","","加速+6%",""
"Pawprint","","","","区域 / 副本",""
"Pawprint","","","","单只捕获时自动练级","動物を1匹捕獲すると自動的にレベルアップ"
"Pawprint","","","","南萨纳兰","南サナランド"
"Pawprint","","","","受到伤害-10%
最大体力+5%","受けるダメージ -10%
最大体力+5%"
"Pawprint","","","","受到伤害-10%
最大体力+7%","受けるダメージ -10%
最大体力+7%"
"Pawprint","","","","受到伤害-10%
特殊效果：技力累积量提高30%
适于以下魔兽食用：
百兽纲 百虫纲 草木纲 水栖纲 死尸纲","受けるダメージ -10%
特殊効果：スキル蓄積量30％増加
以下のモンスターに適しています。
クラス百科事典 クラス クラス センテノラ クラス クラス草本科 クラス クラス水生クラス クラス 壊虫動物"
"Pawprint","","","","受到伤害-15%
最大体力+15%","受けるダメージ -15%
最大体力+15%"
"Pawprint","","","","受到伤害-15%
造成魔法伤害+20%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高30%","受けるダメージ -15%
与える魔法ダメージ+20%
特殊効果：自身が使用するスキルとQiyi小道具の体力回復効果が30％増加する。"
"Pawprint","","","","受到伤害-30%
减速+10%
特殊效果：30%几率使冰属性伤害无效并吸收","受けるダメージ -30%
減速 +10%
特殊効果：30%の確率で氷属性ダメージを無効化し吸収する"
"Pawprint","","","","受到伤害-30%
最大体力+30%
特殊效果：受到伤害时有3%的几率为自身附加“石化”状态
持续时间：30秒
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲","受けるダメージ -30%
最大体力+30%
特殊効果：ダメージを受けた時、3%の確率で自身に「石化」状態を付与。
持続時間: 30秒
特殊効果：この餌をモンスターに与えると体力が18％回復する
以下のモンスターに適しています。
クラスエンサイクロペディア、クラスセンテノーラ、クラス翼虫類、クラス草本科、クラスアクアティカ、クラスオ爪虫、クラスカース、クラスネクロゾア"
"Pawprint","","","","受到伤害-5%
造成物理伤害+5%
最大体力+5%","被ダメージ -5%
物理ダメージ+5%
最大体力+5%"
"Pawprint","","","","受到伤害-7%
中毒耐性+100%
特殊效果：受到伤害时有5%的几率为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：12秒
最大档数：8档","被ダメージ -7%
毒耐性+100%
特殊効果：ダメージを受けた時、5%の確率で自身に「スタミナ継続回復」レベルを付与。
継続体力回復効果：一定時間ごとに最大体力の3％回復
体力回復時間：12秒
最大ギア数: 8 ギア"
"Pawprint","","","","受到物理伤害-10%
暴击发动率+15%","受ける物理ダメージ -10%
クリティカル率+15%"
"Pawprint","","","","受到物理伤害-15%","受ける物理ダメージ -15%"
"Pawprint","","","","受到物理伤害-25%
以太爆发威力+10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","受ける物理ダメージ -25%
エーテルバースト威力+10%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","受到物理伤害-30%
造成伤害+10%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
适于以下魔兽食用：
咒具纲","受ける物理ダメージ -30%
ダメージ+10%
特殊効果：ウォークラフトがコンバットスキルを発動してビーストハート連携スキルを発動すると、30％の確率で消費したスキルの一部を回復する。
以下のモンスターに適しています。
マントラの概要"
"Pawprint","","","","受到物理伤害-40%
以太爆发威力+20%
适于以下魔兽食用：
甲鳞纲","受ける物理ダメージ -40%
エーテルバースト威力+20%
以下のモンスターに適しています。
爪真菌症"
"Pawprint","","","","受到物理伤害-9%
特殊效果：自身发动战技触发兽心协作技时，有10%的几率恢复一部分消耗的技力","被物理ダメージ -9%
特殊効果：戦闘スキルを発動してビーストハート連携スキルを発動すると、10％の確率で消費したスキルの一部を回復する。"
"Pawprint","","","","受到魔法伤害-10%","受ける魔法ダメージ -10%"
"Pawprint","","","","受到魔法伤害-10%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%
特殊效果：成功回避攻击时，为自身附加“双刃剑”状态
双刃剑效果：体力逐渐流失的同时造成伤害提高30%
双刃剑持续时间：21秒","受ける魔法ダメージ -10%
特殊効果：自身が使用するスキルとQiyi小道具の体力回復効果が15%増加する。
特殊効果：攻撃回避に成功すると「諸刃の剣」ステータスが付与される。
諸刃の剣効果：体力が徐々に減少するが、与えるダメージが30％増加する。
両刃の剣持続時間：21秒"
"Pawprint","","","","受到魔法伤害-15%
最大体力+5%
眩晕耐性+100%","受ける魔法ダメージ -15%
最大体力+5%
気絶耐性 +100%"
"Pawprint","","","","受到魔法伤害-30%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","受ける魔法ダメージ -30%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","受到魔法伤害-40%
以太爆发威力+10%
最大体力+15%
特殊效果：将此食料喂给魔兽后，可以恢复10%的体力
适于以下魔兽食用：
百虫纲","受ける魔法ダメージ -40%
エーテルバースト威力+10%
最大体力+15%
特殊効果：この餌をモンスターに与えると体力が10％回復する
以下のモンスターに適しています。
クリソポディア"
"Pawprint","","","","只看未捕获","未捕獲のみを見る"
"Pawprint","","","","可以回避战斗
但对强敌和头目无效
战斗开始前可选择是否使用","戦闘を回避できる
ただし強敵やボスには無効
戦闘開始前に使用するかどうかを選択できます。"
"Pawprint","","","","名称",""
"Pawprint","","","","启用",""
"Pawprint","","","","商店",""
"Pawprint","","","","商店任务、角色或奇盘已变化","ストアのミッション、キャラクター、または変わり者が変更されました"
"Pawprint","","","","回避率+10%
以太爆发威力+5%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲","回避率+10%
エーテルバースト威力+5%
以下のモンスターに適しています。
百科事典、センテノラ綱、翼虫綱、草本綱、アクアティカ綱、壊虫綱"
"Pawprint","","","","回避率+10%
最大体力-8%
特殊效果：暴击时有2%的几率为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：12秒
最大档数：8档","回避率+10%
最大体力 -8%
特殊効果：クリティカルヒット時、2%の確率で自身に「スタミナ継続回復」レベルを付与。
継続体力回復効果：一定時間ごとに最大体力の3％回復
体力回復時間：12秒
最大ギア数: 8 ギア"
"Pawprint","","","","回避率+10%
造成物理伤害+10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲","回避率+10%
物理ダメージ+10%
以下のモンスターに適しています。
百科事典、センテノラ綱、翼虫綱、草本綱、アクアティカ綱、壊虫綱"
"Pawprint","","","","回避率+15%
受到伤害-5%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲","回避率+15%
被ダメージ -5%
以下のモンスターに適しています。
百科事典、センテノラ綱、翼虫綱、草本綱、アクアティカ綱、壊虫綱"
"Pawprint","","","","回避率+25%
特殊效果：成功回避攻击时，有15%的几率为自身附加“石肤”状态
石肤效果：抵消相当于最大体力12%的伤害量
石肤持续时间：60秒
适于以下魔兽食用：
咒具纲","回避率+25%
特殊効果：攻撃回避成功時、15%の確率で自身に「ストーンスキン」状態を付与する。
ストーンスキン効果：最大体力の12%相当のダメージを相殺
ストーンスキン持続時間: 60秒
以下のモンスターに適しています。
マントラの概要"
